sandstormRocketCargoFailure,0,,0
teleOpRocketCargoSuccess,0,,0
sandstormRocketHatchSuccess,0,,0
teleOpCargoShipHatchFailure,0,,0
sandstormRocketCargoSuccess,0,,0
speed,slow,,Medium
teamDBRef,team-6968,,team-6968
sandstormCross,L1,,L1
teleOpCargoShipHatchSuccess,0,,0
teleOpRocketHatchSuccess,1,,0
sandstormCargoShipCargoFailure,0,,0
teleOpRocketHatchFailure,0,,1
teleOpRocketCargoFailure,0,,1
sandstormCargoShipHatchSuccess,1,,0
9fv7QhcLPsfU59sRrPq7LcJlD8J3,,"{'contribution': 'Equal', 'notes': 'weak auto, yet filled a lot of hatches offensively on Teleop on the rocket', 'fillChoice': 'Cargo', 'strategy': 'fill all hatches on rocket', 'cargoSuccessTeleop': '', 'strongMedium': 'Hatch', 'teamDBRef': 'team-6968', 'hiRocketSuccessTeleop': 'Mid', 'speed': '', 'match': 'match-32', 'size': '', 'fillChoiceTeleop': 'High Rocket', 'strongMediumTeleop': 'Hatch', 'endingHab': 'Hab 1', 'functional': 'No', 'startingHatch': '', 'lowRocketSuccessTeleop': 'Mid'}",
sandstormCargoShipCargoSuccess,0,,0
teleOpCargoShipCargoFailure,0,,0
sandstormRocketHatchFailure,0,,0
sandstormCargoShipHatchFailure,0,,1
HABClimb,None,,L1
match,match-11,,match-4
teleOpCargoShipCargoSuccess,0,,0
