gmkR7hN4D1fQguey5X5V48d3PhO2,,,"{'notes': '', 'contribution': 'Great', 'fillChoice': '', 'strategy': 'quick bottom hatches but still slow', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': 'High', 'teamDBRef': 'team-101', 'speed': 'Medium', 'hiRocketSuccessTeleop': '', 'size': 'Medium', 'match': 'match-29', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': 'Both', 'endingHab': 'None', 'functional': 'No', 'lowRocketSuccessTeleop': 'Mid', 'startingHatch': 'Hab I'}"
sandstormRocketCargoFailure,0,,
teleOpRocketCargoSuccess,0,,
sandstormRocketHatchSuccess,0,,
strongMediumTeleop,,Neither,
teleOpCargoShipHatchFailure,1,,
sandstormRocketCargoSuccess,0,,
size,,Medium,
speed,slow,Medium,
strategy,,"Cargo, but couldn't pick up",
teamDBRef,team-101,team-101,
sandstormCross,L2,L1,
sandstormCrossBonus,,L1,
teleOpCargoShipHatchSuccess,1,,
teleOpRocketHatchSuccess,2,,
sandstormCargoShipCargoFailure,0,,
lowRocketSuccessTeleop,,High,
teleOpRocketHatchFailure,0,,
teleOpRocketCargoFailure,0,,
cargoSuccessTeleop,,Mid,
sandstormCargoShipHatchSuccess,0,,
startingHatch,,Hab I,
9fv7QhcLPsfU59sRrPq7LcJlD8J3,"{'notes': 'not good with balls, was able to reach high with hatch', 'contribution': '', 'fillChoice': 'Cargo', 'strategy': 'place hatches, shoe off long arm. not defensive', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-101', 'speed': 'Medium', 'hiRocketSuccessTeleop': 'High', 'size': '', 'match': 'match-13', 'fillChoiceTeleop': 'High Rocket', 'strongMediumTeleop': 'Hatch', 'endingHab': '', 'functional': 'Yes', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}",,
fillChoice,,Cargo,
sandstormCargoShipCargoSuccess,0,,
strongMedium,,Hatch,
functional,,Yes,
teleOpCargoShipCargoFailure,0,,
sandstormRocketHatchFailure,0,,
sandstormCargoShipHatchFailure,0,,
fillChoiceTeleop,,Low Rocket,
contrubution,,Weak,
HABClimb,None,,
match,match-13,match-25,
hiRocketSuccessTeleop,,N/A,
endingHab,,L1,
teleOpCargoShipCargoSuccess,0,,
