gmkR7hN4D1fQguey5X5V48d3PhO2,,"{'contribution': 'Great', 'notes': '', 'cargoSuccess': '', 'fillChoice': 'Cargo', 'cargoSuccessTeleop': 'High', 'strongMedium': 'Hatch', 'teamDBRef': 'team-111', 'speed': 'Fast', 'hiRocketSuccessTeleop': 'High', 'lowRocketSuccess': '', 'size': 'Medium', 'match': 'match-2', 'fillChoiceTeleop': '', 'strongMediumTeleop': 'Hatch', 'startingHatch': 'Hab I', 'lowRocketSuccessTeleop': '', 'hiRocketSuccess': 'High'}",,,
sandstormRocketCargoFailure,0,0,,,
teleOpRocketCargoSuccess,5,0,,,
sandstormRocketHatchSuccess,1,0,,,
strongMediumTeleop,,,Ball,,
teleOpCargoShipHatchFailure,0,0,,,
sandstormRocketCargoSuccess,0,0,,,
size,,,Large,,
nTG6cThsi9TB9mTkcwuo5bKEo9B3,,,,"{'contribution': 'Equal', 'notes': '', 'fillChoice': 'High Rocket', 'strategy': 'rocket. i lost track of the robot', 'cargoSuccessTeleop': 'Mid', 'strongMedium': 'Hatch', 'teamDBRef': 'team-111', 'speed': 'Fast', 'hiRocketSuccessTeleop': 'High', 'size': 'Large', 'match': 'match-30', 'fillChoiceTeleop': 'High Rocket', 'strongMediumTeleop': 'Hatch', 'endingHab': 'Hab 1', 'functional': 'Yes', 'startingHatch': 'Hab I', 'lowRocketSuccessTeleop': 'N/A'}","{'notes': '', 'contribution': 'Great', 'fillChoice': 'High Rocket', 'strategy': 'hatch and ball in rocket', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': 'High', 'teamDBRef': 'team-111', 'speed': 'Medium', 'hiRocketSuccessTeleop': 'High', 'size': 'Medium', 'match': 'match-37', 'fillChoiceTeleop': '', 'strongMediumTeleop': 'Hatch', 'endingHab': 'Hab 1', 'functional': 'Yes', 'lowRocketSuccessTeleop': 'High', 'startingHatch': 'Hab II'}"
speed,Medium,Fast,Fast,,
strategy,,,Top-down rocket fill,,
teamDBRef,team-111,team-111,team-111,,
sandstormCross,L1,L1,L1,,
sandstormCrossBonus,,,L1,,
teleOpCargoShipHatchSuccess,0,0,,,
teleOpRocketHatchSuccess,4,1,,,
sandstormCargoShipCargoFailure,0,0,,,
lowRocketSuccessTeleop,,,N/A,,
teleOpRocketHatchFailure,1,1,,,
teleOpRocketCargoFailure,1,1,,,
cargoSuccessTeleop,,,N/A,,
sandstormCargoShipHatchSuccess,0,1,,,
startingHatch,,,Hab I,,
fillChoice,,,High Rocket,,
functional,,,Yes,,
sandstormCargoShipCargoSuccess,0,0,,,
strongMedium,,,Hatch,,
teleOpCargoShipCargoFailure,0,0,,,
sandstormRocketHatchFailure,0,0,,,
sandstormCargoShipHatchFailure,0,0,,,
fillChoiceTeleop,,,High Rocket,,
contrubution,,,Strong,,
HABClimb,None,L1,,,
match,match-11,match-2,match-24,,
hiRocketSuccessTeleop,,,High,,
endingHab,,,L2,,
teleOpCargoShipCargoSuccess,0,0,,,
