sandstormCrossBonus,L1,
9fv7QhcLPsfU59sRrPq7LcJlD8J3,,"{'contribution': '', 'notes': 'had a reach with the height of their grabber, yet it was extremely inaccurate. with the fast frequency they could make attempts, they were able to land 3', 'fillChoice': '', 'cargoSuccessTeleop': 'Low', 'strongMedium': '', 'teamDBRef': 'team-1797', 'hiRocketSuccessTeleop': '', 'speed': 'Medium', 'match': 'match-8', 'size': 'Jumbo', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': '', 'functional': '', 'lowRocketSuccessTeleop': '', 'startingHatch': 'None'}"
strongMediumTeleop,Ball,
fillChoiceTeleop,Cargo,
cargoSuccessTeleop,High,
contrubution,Equal,
functional,Yes,
lowRocketSuccessTeleop,N/A,
startingHatch,Hab I,
size,Medium,
speed,slow,
hiRocketSuccessTeleop,N/A,
strategy,Cargo only,
match,match-43,
fillChoice,None,
endingHab,L1,
teamDBRef,team-1797,
strongMedium,Neither,
sandstormCross,L1,
