sandstormRocketCargoFailure,0,0,,
teleOpRocketCargoSuccess,0,0,,
sandstormRocketHatchSuccess,0,0,,
strongMediumTeleop,,,Neither,
teleOpCargoShipHatchFailure,0,0,,
jouGPhPF0qME5wNIbd86MzYFsGw2,"{'contribution': 'Weak', 'notes': '', 'fillChoice': '', 'strategy': 'slow and unreliable ', 'cargoSuccessTeleop': '', 'strongMedium': 'Neither', 'teamDBRef': 'team-2151', 'hiRocketSuccessTeleop': '', 'speed': 'Slow', 'match': 'match-14', 'size': 'Medium', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': '', 'endingHab': 'None', 'functional': 'No', 'lowRocketSuccessTeleop': 'Low', 'startingHatch': 'Hab I'}",,,
sandstormRocketCargoSuccess,0,0,,
size,,,Small,
nTG6cThsi9TB9mTkcwuo5bKEo9B3,,,,"{'contribution': '', 'notes': '', 'fillChoice': '', 'strategy': '', 'cargoSuccessTeleop': '', 'strongMedium': '', 'teamDBRef': 'team-2151', 'speed': '', 'hiRocketSuccessTeleop': '', 'size': '', 'match': 'match-44', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'endingHab': '', 'functional': '', 'startingHatch': '', 'lowRocketSuccessTeleop': ''}"
speed,slow,slow,slow,
strategy,,,,
teamDBRef,team-2151,team-2151,team-2151,
sandstormCross,None,None,None,
sandstormCrossBonus,,,None,
teleOpCargoShipHatchSuccess,0,1,,
teleOpRocketHatchSuccess,1,0,,
sandstormCargoShipCargoFailure,0,0,,
lowRocketSuccessTeleop,,,N/A,
teleOpRocketHatchFailure,0,0,,
teleOpRocketCargoFailure,0,0,,
cargoSuccessTeleop,,,N/A,
sandstormCargoShipHatchSuccess,0,0,,
startingHatch,,,Hab I,
e0Q3j2NrXuYvSrgZ5UZQ89UMvXY2,,,"{'contribution': '', 'notes': 'The bot is idle. ', 'fillChoice': '', 'strategy': '', 'cargoSuccessTeleop': '', 'strongMedium': '', 'teamDBRef': 'team-2151', 'hiRocketSuccessTeleop': '', 'speed': '', 'match': 'match-29', 'size': 'Medium', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': '', 'endingHab': '', 'functional': 'No', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}",
9fv7QhcLPsfU59sRrPq7LcJlD8J3,,"{'contribution': '', 'notes': '', 'cargoSuccess': '', 'fillChoice': '', 'strongMedium': '', 'cargoSuccessTeleop': '', 'speed': '', 'hiRocketSuccessTeleop': '', 'lowRocketSuccess': '', 'size': '', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'lowRocketSuccessTeleop': '', 'startingHatch': '', 'hiRocketSuccess': ''}",,
fillChoice,,,None,
sandstormCargoShipCargoSuccess,0,0,,
strongMedium,,,Neither,
functional,,,No,
teleOpCargoShipCargoFailure,0,0,,
sandstormRocketHatchFailure,0,0,,
sandstormCargoShipHatchFailure,0,0,,
fillChoiceTeleop,,,None,
contrubution,,,Weak,
HABClimb,None,None,,
match,match-14,match-2,match-29,
hiRocketSuccessTeleop,,,N/A,
endingHab,,,None,
teleOpCargoShipCargoSuccess,0,0,,
