gmkR7hN4D1fQguey5X5V48d3PhO2,,,,,"{'contribution': 'Great', 'notes': '', 'fillChoice': 'Low Rocket', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': 'Mid', 'teamDBRef': 'team-2252', 'hiRocketSuccessTeleop': '', 'speed': 'Medium', 'match': 'match-4', 'size': 'Medium', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Both', 'endingHab': 'Hab 1', 'functional': 'Sorta', 'lowRocketSuccessTeleop': 'Low', 'startingHatch': 'Hab I'}",
sandstormRocketCargoFailure,0,,,,,
teleOpRocketCargoSuccess,0,,,,,
sandstormRocketHatchSuccess,0,,,,,
strongMediumTeleop,,,Ball,Ball,,
teleOpCargoShipHatchFailure,0,,,,,
sandstormRocketCargoSuccess,0,,,,,
size,,,Large,Small,,
nTG6cThsi9TB9mTkcwuo5bKEo9B3,,,,,,"{'notes': 'i don’t know if hatch succeeded in storm for cargo ', 'contribution': 'Equal', 'fillChoice': 'Cargo', 'strategy': 'ball for cargo ship and rocket ', 'strongMedium': 'Hatch', 'cargoSuccessTeleop': 'High', 'teamDBRef': 'team-2252', 'speed': 'Slow', 'hiRocketSuccessTeleop': '', 'size': 'Medium', 'match': 'match-55', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': 'Hab 1', 'functional': 'Yes', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}"
speed,slow,,slow,Fast,,
strategy,,,Cargo ship cargo,,,
teamDBRef,team-2252,,team-2252,team-2252,,
sandstormCross,L1,,L1,L1,,
sandstormCrossBonus,,,L1,L1,,
teleOpCargoShipHatchSuccess,0,,,,,
teleOpRocketHatchSuccess,0,,,,,
sandstormCargoShipCargoFailure,0,,,,,
lowRocketSuccessTeleop,,,N/A,N/A,,
teleOpRocketHatchFailure,0,,,,,
teleOpRocketCargoFailure,0,,,,,
klQQqapPjwO3jnpN8Dieequh3OI3,"{'contribution': 'Equal', 'notes': 'alliance only had 2 robots', 'fillChoice': 'Cargo', 'strategy': '', 'cargoSuccessTeleop': 'Mid', 'strongMedium': 'Hatch', 'teamDBRef': 'team-2252', 'hiRocketSuccessTeleop': '', 'speed': 'Ludicrous', 'match': 'match-15', 'size': 'Medium', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': 'Hab 1', 'functional': 'No', 'lowRocketSuccessTeleop': 'N/A', 'startingHatch': 'Hab II'}",,,,,
cargoSuccessTeleop,,,Mid,Mid,,
sandstormCargoShipHatchSuccess,0,,,,,
startingHatch,,,Hab I,Hab I,,
fillChoice,,,Cargo,Cargo,,
functional,,,Yes,No,,
sandstormCargoShipCargoSuccess,0,,,,,
strongMedium,,,Neither,Neither,,
teleOpCargoShipCargoFailure,0,,,,,
sandstormRocketHatchFailure,0,,,,,
sandstormCargoShipHatchFailure,1,,,,,
fillChoiceTeleop,,,Cargo,Cargo,,
contrubution,,,Equal,Weak,,
HABClimb,L1,,,,,
5nO8yj26oEUhd3mS3noHWQNvqSE3,,"{'contribution': 'Weak', 'notes': '', 'fillChoice': 'Low Rocket', 'strategy': '', 'cargoSuccessTeleop': 'Mid', 'strongMedium': 'Hatch', 'teamDBRef': 'team-2252', 'speed': 'Medium', 'hiRocketSuccessTeleop': 'Low', 'size': 'Medium', 'match': 'match-31', 'fillChoiceTeleop': 'Cargo', 'strongMediumTeleop': 'Ball', 'endingHab': 'Hab 1', 'functional': 'Sorta', 'startingHatch': '', 'lowRocketSuccessTeleop': 'Mid'}",,,,
match,match-15,,match-38,match-39,,
hiRocketSuccessTeleop,,,N/A,N/A,,
endingHab,,,L1,L1,,
teleOpCargoShipCargoSuccess,4,,,,,
