sandstormRocketCargoFailure,0,
teleOpRocketCargoSuccess,0,
sandstormRocketHatchSuccess,0,
strongMediumTeleop,,Neither
teleOpCargoShipHatchFailure,0,
sandstormRocketCargoSuccess,0,
size,,IDK
speed,slow,Fast
strategy,,Defense
teamDBRef,team-7609,team-7609
sandstormCross,L1,L1
sandstormCrossBonus,,L1
teleOpCargoShipHatchSuccess,0,
teleOpRocketHatchSuccess,0,
sandstormCargoShipCargoFailure,0,
lowRocketSuccessTeleop,,N/A
teleOpRocketHatchFailure,0,
teleOpRocketCargoFailure,0,
klQQqapPjwO3jnpN8Dieequh3OI3,"{'notes': '', 'contribution': 'Weak', 'fillChoice': 'None', 'strategy': 'resorted to defense after couldn’t collect hatches', 'strongMedium': 'Neither', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-7609', 'speed': 'Medium', 'hiRocketSuccessTeleop': '', 'size': 'Medium', 'match': 'match-13', 'fillChoiceTeleop': 'Low Rocket', 'strongMediumTeleop': '', 'endingHab': 'Hab 1', 'functional': '', 'lowRocketSuccessTeleop': 'N/A', 'startingHatch': 'idk'}",
cargoSuccessTeleop,,N/A
sandstormCargoShipHatchSuccess,0,
startingHatch,,Hab I
e0Q3j2NrXuYvSrgZ5UZQ89UMvXY2,,"{'contribution': '', 'notes': 'literally useless just drove around trying to defend I think ', 'fillChoice': '', 'strategy': '', 'strongMedium': '', 'cargoSuccessTeleop': '', 'teamDBRef': 'team-7609', 'speed': 'Medium', 'hiRocketSuccessTeleop': '', 'match': 'match-33', 'size': '', 'fillChoiceTeleop': '', 'strongMediumTeleop': '', 'endingHab': '', 'functional': '', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}"
fillChoice,,None
functional,,Yes
sandstormCargoShipCargoSuccess,0,
strongMedium,,Neither
teleOpCargoShipCargoFailure,0,
sandstormRocketHatchFailure,0,
sandstormCargoShipHatchFailure,0,
fillChoiceTeleop,,None
contrubution,,Weak
HABClimb,L1,
match,match-13,match-33
hiRocketSuccessTeleop,,N/A
endingHab,,L1
teleOpCargoShipCargoSuccess,0,
